grid,probability
"(11, 57)",0.47
"(11, 58)",0.5
"(11, 59)",0.66
"(11, 60)",0.67
"(11, 61)",0.66
"(11, 62)",0.72
"(11, 63)",0.82
"(11, 64)",0.6
"(11, 65)",0.6
"(11, 66)",0.68
"(12, 0)",0.44
"(12, 1)",0.45
"(12, 2)",0.53
"(12, 3)",0.67
"(12, 4)",0.57
"(12, 5)",0.49
"(12, 6)",0.48
"(12, 7)",0.58
"(12, 8)",0.49
"(12, 9)",0.33
"(12, 10)",0.3
"(12, 11)",0.26
"(12, 12)",0.28
"(12, 13)",0.36
"(12, 14)",0.34
"(12, 15)",0.34
"(12, 16)",0.62
"(12, 17)",0.59
"(12, 18)",0.56
"(12, 19)",0.62
"(12, 20)",0.65
"(12, 21)",0.67
"(12, 22)",0.69
"(12, 23)",0.62
"(12, 24)",0.65
"(12, 25)",0.65
"(12, 26)",0.65
"(12, 27)",0.65
"(12, 28)",0.54
"(12, 29)",0.54
"(12, 30)",0.51
"(12, 31)",0.36
"(12, 32)",0.34
"(12, 33)",0.34
"(12, 34)",0.33
"(12, 35)",0.3
"(12, 36)",0.3
"(12, 37)",0.35
"(12, 38)",0.36
"(12, 39)",0.38
"(12, 40)",0.36
"(12, 41)",0.39
"(12, 42)",0.4
"(12, 43)",0.38
"(12, 44)",0.35
"(12, 45)",0.39
"(12, 46)",0.4
"(12, 47)",0.7
"(12, 48)",0.71
"(12, 49)",0.73
"(12, 50)",0.69
"(12, 51)",0.64
"(12, 52)",0.66
"(12, 53)",0.64
"(12, 54)",0.65
"(12, 55)",0.71
"(12, 56)",0.53
"(12, 57)",0.47
"(12, 58)",0.49
"(12, 59)",0.59
"(12, 60)",0.6
"(12, 61)",0.66
"(12, 62)",0.74
"(12, 63)",0.78
"(12, 64)",0.53
"(12, 65)",0.58
"(12, 66)",0.65
"(13, 0)",0.32
"(13, 1)",0.32
"(13, 2)",0.38
"(13, 3)",0.51
"(13, 4)",0.44
"(13, 5)",0.37
"(13, 6)",0.42
"(13, 7)",0.51
"(13, 8)",0.43
"(13, 9)",0.29
"(13, 10)",0.25
"(13, 11)",0.21
"(13, 12)",0.23
"(13, 13)",0.3
"(13, 14)",0.28
"(13, 15)",0.28
"(13, 16)",0.53
"(13, 17)",0.49
"(13, 18)",0.45
"(13, 19)",0.53
"(13, 20)",0.57
"(13, 21)",0.59
"(13, 22)",0.6
"(13, 23)",0.56
"(13, 24)",0.61
"(13, 25)",0.6
"(13, 26)",0.61
"(13, 27)",0.57
"(13, 28)",0.45
"(13, 29)",0.45
"(13, 30)",0.43
"(13, 31)",0.31
"(13, 32)",0.29
"(13, 33)",0.28
"(13, 34)",0.27
"(13, 35)",0.25
"(13, 36)",0.25
"(13, 37)",0.29
"(13, 38)",0.29
"(13, 39)",0.31
"(13, 40)",0.29
"(13, 41)",0.31
"(13, 42)",0.35
"(13, 43)",0.31
"(13, 44)",0.29
"(13, 45)",0.36
"(13, 46)",0.38
"(13, 47)",0.69
"(13, 48)",0.69
"(13, 49)",0.72
"(13, 50)",0.7
"(13, 51)",0.63
"(13, 52)",0.63
"(13, 53)",0.62
"(13, 54)",0.62
"(13, 55)",0.66
"(13, 56)",0.55
"(13, 57)",0.53
"(13, 58)",0.52
"(13, 59)",0.64
"(13, 60)",0.65
"(13, 61)",0.77
"(13, 62)",0.81
"(13, 63)",0.73
"(13, 64)",0.4
"(13, 65)",0.48
"(13, 66)",0.51
"(14, 0)",0.47
"(14, 1)",0.47
"(14, 2)",0.62
"(14, 3)",0.64
"(14, 4)",0.49
"(14, 5)",0.43
"(14, 6)",0.42
"(14, 7)",0.63
"(14, 8)",0.75
"(14, 9)",0.6
"(14, 10)",0.6
"(14, 11)",0.62
"(14, 12)",0.59
"(14, 13)",0.64
"(14, 14)",0.58
"(14, 15)",0.53
"(14, 16)",0.74
"(14, 17)",0.77
"(14, 18)",0.75
"(14, 19)",0.71
"(14, 20)",0.73
"(14, 21)",0.74
"(14, 22)",0.73
"(14, 23)",0.74
"(14, 24)",0.72
"(14, 25)",0.7
"(14, 26)",0.72
"(14, 27)",0.74
"(14, 28)",0.73
"(14, 29)",0.68
"(14, 30)",0.66
"(14, 31)",0.6
"(14, 32)",0.57
"(14, 33)",0.56
"(14, 34)",0.55
"(14, 35)",0.55
"(14, 36)",0.56
"(14, 37)",0.6
"(14, 38)",0.6
"(14, 39)",0.6
"(14, 40)",0.59
"(14, 41)",0.67
"(14, 42)",0.85
"(14, 43)",0.87
"(14, 44)",0.89
"(14, 45)",0.96
"(14, 46)",0.94
"(14, 47)",0.94
"(14, 48)",0.92
"(14, 49)",0.91
"(14, 50)",0.93
"(14, 51)",0.88
"(14, 52)",0.85
"(14, 53)",0.83
"(14, 54)",0.86
"(14, 55)",0.79
"(14, 56)",0.77
"(14, 57)",0.79
"(14, 58)",0.78
"(14, 59)",0.77
"(14, 60)",0.79
"(14, 61)",0.79
"(14, 62)",0.79
"(14, 63)",0.7
"(14, 64)",0.49
"(14, 65)",0.6
"(14, 66)",0.63
"(15, 0)",0.47
"(15, 1)",0.47
"(15, 2)",0.62
"(15, 3)",0.64
"(15, 4)",0.48
"(15, 5)",0.44
"(15, 6)",0.41
"(15, 7)",0.58
"(15, 8)",0.68
"(15, 9)",0.58
"(15, 10)",0.6
"(15, 11)",0.64
"(15, 12)",0.6
"(15, 13)",0.67
"(15, 14)",0.62
"(15, 15)",0.55
"(15, 16)",0.76
"(15, 17)",0.88
"(15, 18)",0.91
"(15, 19)",0.89
"(15, 20)",0.89
"(15, 21)",0.9
"(15, 22)",0.89
"(15, 23)",0.89
"(15, 24)",0.85
"(15, 25)",0.85
"(15, 26)",0.88
"(15, 27)",0.89
"(15, 28)",0.88
"(15, 29)",0.85
"(15, 30)",0.84
"(15, 31)",0.8
"(15, 32)",0.76
"(15, 33)",0.75
"(15, 34)",0.75
"(15, 35)",0.77
"(15, 36)",0.77
"(15, 37)",0.84
"(15, 38)",0.86
"(15, 39)",0.9
"(15, 40)",0.87
"(15, 41)",0.93
"(15, 42)",0.98
"(15, 43)",0.96
